sphere_id,layer_index,ring_index,x,y,z,sphere_radius,ring_radius,azimuth_deg,steering_angle_deg
209,8,17,-5.176380902050413,-19.318516525781366,20.0,1.0,20.0,255.00000000000003,32.0
210,8,18,-3.673940397442059e-15,-20.0,20.0,1.0,20.0,270.0,32.0
211,8,19,5.176380902050406,-19.31851652578137,20.0,1.0,20.0,285.0,32.0
212,8,20,10.000000000000002,-17.32050807568877,20.0,1.0,20.0,300.0,32.0
213,8,21,14.142135623730947,-14.142135623730955,20.0,1.0,20.0,315.0,32.0
214,8,22,17.320508075688767,-10.000000000000009,20.0,1.0,20.0,330.0,32.0
215,8,23,19.318516525781362,-5.176380902050432,20.0,1.0,20.0,344.99999999999994,32.0
216,9,0,20.0,0.0,22.5,1.0,20.0,0.0,36.0
217,9,1,19.318516525781366,5.176380902050415,22.5,1.0,20.0,14.999999999999998,36.0
218,9,2,17.320508075688775,9.999999999999998,22.5,1.0,20.0,29.999999999999996,36.0
219,9,3,14.142135623730951,14.14213562373095,22.5,1.0,20.0,45.0,36.0
220,9,4,10.000000000000002,17.32050807568877,22.5,1.0,20.0,59.99999999999999,36.0
221,9,5,5.176380902050415,19.318516525781366,22.5,1.0,20.0,75.0,36.0
222,9,6,1.2246467991473533e-15,20.0,22.5,1.0,20.0,90.0,36.0
223,9,7,-5.176380902050413,19.318516525781366,22.5,1.0,20.0,105.0,36.0
224,9,8,-9.999999999999996,17.320508075688775,22.5,1.0,20.0,119.99999999999999,36.0
225,9,9,-14.14213562373095,14.142135623730951,22.5,1.0,20.0,135.0,36.0
226,9,10,-17.320508075688775,9.999999999999998,22.5,1.0,20.0,150.0,36.0
227,9,11,-19.318516525781362,5.17638090205042,22.5,1.0,20.0,165.0,36.0
228,9,12,-20.0,2.4492935982947065e-15,22.5,1.0,20.0,180.0,36.0
229,9,13,-19.318516525781366,-5.176380902050416,22.5,1.0,20.0,195.0,36.0
230,9,14,-17.320508075688778,-9.999999999999995,22.5,1.0,20.0,210.0,36.0
231,9,15,-14.142135623730958,-14.142135623730942,22.5,1.0,20.0,224.99999999999997,36.0
232,9,16,-10.000000000000009,-17.320508075688767,22.5,1.0,20.0,239.99999999999997,36.0
233,9,17,-5.176380902050413,-19.318516525781366,22.5,1.0,20.0,255.00000000000003,36.0
234,9,18,-3.673940397442059e-15,-20.0,22.5,1.0,20.0,270.0,36.0
235,9,19,5.176380902050406,-19.31851652578137,22.5,1.0,20.0,285.0,36.0
236,9,20,10.000000000000002,-17.32050807568877,22.5,1.0,20.0,300.0,36.0
237,9,21,14.142135623730947,-14.142135623730955,22.5,1.0,20.0,315.0,36.0
238,9,22,17.320508075688767,-10.000000000000009,22.5,1.0,20.0,330.0,36.0
239,9,23,19.318516525781362,-5.176380902050432,22.5,1.0,20.0,344.99999999999994,36.0
240,10,0,20.0,0.0,25.0,1.0,20.0,0.0,40.0
241,10,1,19.318516525781366,5.176380902050415,25.0,1.0,20.0,14.999999999999998,40.0
242,10,2,17.320508075688775,9.999999999999998,25.0,1.0,20.0,29.999999999999996,40.0
243,10,3,14.142135623730951,14.14213562373095,25.0,1.0,20.0,45.0,40.0
244,10,4,10.000000000000002,17.32050807568877,25.0,1.0,20.0,59.99999999999999,40.0
